TIRF Data File: Project 1654; Run 48
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AMBTMP	SR
sec	kph	rpm	deg	deg	cm	cm	kPa	N	N	N	N-m	N-m	none	none	deg C	deg C	deg C	deg C	deg C	none
0.000	40.26	419.85	-0.069	-0.031	25.140	25.440	82.58	9.32	62.36	-1058.08	37.51	27.62	-0.01	-0.06	31.60	27.13	26.73	24.19	27.47	-0.012
0.010	40.26	419.91	-0.066	-0.028	25.137	25.436	82.63	0.65	58.36	-1064.90	48.55	39.35	0.00	-0.05	31.60	27.16	26.62	24.16	27.49	-0.012
0.020	40.26	420.12	-0.064	-0.033	25.138	25.427	82.52	-5.15	54.90	-1066.86	50.54	53.77	0.00	-0.05	31.59	27.10	26.62	24.22	27.48	-0.011
0.030	40.27	419.78	-0.058	-0.034	25.143	25.453	82.58	-13.20	49.81	-1071.25	45.68	68.52	0.01	-0.05	31.59	27.02	26.62	24.04	27.47	-0.012
0.040	40.30	419.91	-0.061	-0.030	25.137	25.460	82.47	-29.42	49.34	-1063.21	31.44	79.47	0.03	-0.05	31.60	27.00	26.81	24.17	27.48	-0.013
0.050	40.32	419.98	-0.058	-0.036	25.145	25.470	82.68	-50.12	48.24	-1052.83	13.75	84.63	0.05	-0.05	31.59	27.13	26.64	24.16	27.48	-0.013
0.060	40.34	420.19	-0.061	-0.033	25.138	25.473	82.78	-68.55	48.43	-1033.85	-6.66	84.13	0.07	-0.05	31.60	27.00	26.62	24.17	27.46	-0.013
0.070	40.36	420.39	-0.061	-0.034	25.147	25.472	82.73	-94.48	50.89	-1015.30	-23.68	75.98	0.09	-0.05	31.59	27.00	26.61	24.10	27.46	-0.013
0.080	40.37	420.67	-0.064	-0.037	25.140	25.464	82.68	-121.23	57.00	-999.83	-35.19	63.14	0.12	-0.06	31.61	26.99	26.73	24.10	27.48	-0.013
0.090	40.39	420.60	-0.061	-0.031	25.146	25.477	82.68	-139.44	63.86	-996.71	-38.44	48.51	0.14	-0.06	31.59	26.92	26.59	24.13	27.47	-0.013
0.100	40.39	420.74	-0.054	-0.037	25.142	25.469	82.88	-143.89	71.73	-1004.10	-33.15	34.06	0.14	-0.07	31.59	26.92	26.56	24.13	27.46	-0.013
0.110	40.39	420.80	-0.058	-0.040	25.141	25.465	83.18	-131.90	76.26	-1017.49	-20.92	22.13	0.13	-0.07	31.59	26.99	26.58	24.13	27.47	-0.013
0.120	40.39	420.94	-0.060	-0.037	25.144	25.457	83.28	-97.66	78.75	-1032.47	-3.49	17.92	0.09	-0.08	31.62	27.13	26.61	24.17	27.48	-0.012
0.130	40.39	420.94	-0.051	-0.033	25.138	25.457	83.18	-66.18	75.02	-1046.65	16.00	17.98	0.06	-0.07	31.59	27.23	26.39	24.19	27.46	-0.013
0.140	40.39	421.15	-0.064	-0.036	25.141	25.444	83.13	-36.22	70.62	-1055.50	33.46	24.11	0.03	-0.07	31.57	27.05	26.58	24.25	27.46	-0.012
0.150	40.37	421.15	-0.061	-0.033	25.138	25.432	83.03	-8.96	61.14	-1068.87	47.22	35.43	0.01	-0.06	31.67	27.15	26.47	24.36	27.47	-0.012
0.160	40.38	420.94	-0.061	-0.041	25.142	25.451	82.83	14.91	50.83	-1076.91	51.25	50.03	-0.01	-0.05	31.60	27.15	26.47	23.99	27.47	-0.012
0.170	40.37	420.74	-0.053	-0.037	25.138	25.457	83.03	38.85	40.85	-1082.85	46.89	65.55	-0.04	-0.04	31.62	27.10	26.75	24.48	27.45	-0.013
0.180	40.37	420.87	-0.072	-0.024	25.133	25.452	83.18	63.38	31.99	-1079.53	33.86	79.17	-0.06	-0.03	31.57	27.05	26.52	24.19	27.46	-0.013
0.190	40.37	420.67	-0.066	-0.034	25.137	25.458	83.44	81.76	28.18	-1072.80	17.55	87.66	-0.08	-0.03	31.64	27.11	26.70	24.23	27.47	-0.013
0.200	40.36	420.74	-0.051	-0.030	25.139	25.451	83.84	82.67	26.31	-1053.78	-2.05	88.83	-0.08	-0.02	31.60	26.92	26.52	24.37	27.45	-0.012
0.210	40.37	420.74	-0.064	-0.037	25.140	25.454	84.14	62.67	30.22	-1032.91	-19.14	82.36	-0.06	-0.03	31.60	27.10	26.67	24.48	27.45	-0.012
0.220	40.37	420.74	-0.067	-0.028	25.137	25.457	83.94	32.29	35.46	-1018.06	-31.66	70.43	-0.03	-0.03	31.59	27.05	26.52	24.26	27.46	-0.013
0.230	40.36	420.53	-0.058	-0.025	25.137	25.461	83.79	3.69	41.62	-1013.49	-36.51	55.46	0.00	-0.04	31.60	27.11	26.70	24.51	27.46	-0.013
0.240	40.36	420.53	-0.050	-0.031	25.136	25.464	83.64	-10.19	44.58	-1023.20	-32.83	40.97	0.01	-0.04	31.60	27.07	26.58	24.43	27.45	-0.013
0.250	40.35	420.53	-0.056	-0.025	25.137	25.458	83.13	-11.63	47.55	-1033.43	-23.33	29.05	0.01	-0.05	31.57	27.07	26.61	24.26	27.45	-0.013
0.260	40.35	420.53	-0.060	-0.031	25.136	25.455	83.49	-11.70	48.72	-1044.15	-8.19	20.77	0.01	-0.05	31.59	27.08	26.67	24.28	27.47	-0.013
0.270	40.36	420.74	-0.054	-0.040	25.143	25.448	83.64	-9.85	49.98	-1055.54	10.40	18.66	0.01	-0.05	31.60	27.10	26.70	24.33	27.45	-0.012
0.280	40.36	420.80	-0.063	-0.031	25.140	25.447	83.79	-3.54	46.13	-1069.66	28.67	22.77	0.00	-0.04	31.58	27.13	26.56	24.13	27.44	-0.012
0.290	40.35	420.74	-0.056	-0.033	25.136	25.445	83.94	11.55	36.71	-1079.95	42.16	33.00	-0.01	-0.03	31.58	27.10	26.81	24.34	27.46	-0.012
0.300	40.36	420.60	-0.058	-0.027	25.138	25.457	83.79	30.57	25.64	-1091.60	50.06	47.39	-0.03	-0.02	31.60	27.08	26.73	24.33	27.46	-0.013
0.310	40.34	420.67	-0.057	-0.033	25.140	25.441	83.64	44.25	15.17	-1095.77	49.13	63.32	-0.04	-0.01	31.60	27.15	26.76	24.29	27.44	-0.012
0.320	40.33	420.53	-0.061	-0.037	25.142	25.446	83.84	44.32	10.76	-1091.77	40.02	76.49	-0.04	-0.01	31.58	27.11	26.78	24.23	27.45	-0.012
0.330	40.33	420.26	-0.061	-0.034	25.149	25.460	84.09	33.67	9.59	-1075.18	22.61	84.71	-0.03	-0.01	31.57	27.29	26.90	24.28	27.46	-0.012
0.340	40.32	420.32	-0.064	-0.034	25.137	25.453	84.30	17.15	9.13	-1055.79	2.59	86.81	-0.02	-0.01	31.58	27.10	26.75	24.14	27.45	-0.012
0.350	40.31	420.26	-0.058	-0.027	25.138	25.451	84.30	-8.10	13.51	-1033.73	-16.32	81.92	0.01	-0.01	31.54	27.16	26.78	24.37	27.44	-0.012
0.360	40.31	420.05	-0.058	-0.036	25.141	25.460	84.14	-34.02	18.94	-1012.64	-30.51	72.21	0.03	-0.02	31.57	27.18	26.69	24.28	27.45	-0.013
0.370	40.31	420.12	-0.057	-0.024	25.147	25.459	83.79	-56.81	26.37	-1001.87	-36.97	58.20	0.06	-0.03	31.55	27.18	26.69	24.28	27.46	-0.012
0.380	40.30	420.26	-0.063	-0.036	25.141	25.445	83.54	-60.05	37.04	-1003.44	-34.62	43.75	0.06	-0.04	31.51	27.32	26.65	24.31	27.44	-0.012
0.390	40.31	420.26	-0.061	-0.036	25.149	25.448	83.49	-43.39	47.02	-1016.69	-24.63	31.72	0.04	-0.05	31.55	27.16	26.61	24.34	27.44	-0.012
0.400	40.30	420.32	-0.051	-0.027	25.140	25.435	83.69	-21.47	48.65	-1028.31	-11.78	23.00	0.02	-0.05	31.53	27.08	26.64	24.31	27.45	-0.012
0.410	40.29	420.39	-0.054	-0.040	25.143	25.428	83.99	-4.92	51.35	-1038.79	6.09	20.03	0.00	-0.05	31.50	27.15	26.56	24.36	27.45	-0.011
0.420	40.30	420.32	-0.058	-0.037	25.144	25.435	83.99	-8.27	50.37	-1047.56	24.23	21.54	0.01	-0.05	31.55	27.26	26.82	24.36	27.43	-0.011
0.430	40.28	420.19	-0.054	-0.037	25.144	25.434	83.94	-22.74	48.62	-1052.80	38.95	29.21	0.02	-0.05	31.53	27.21	26.75	24.55	27.44	-0.011
0.440	40.28	420.19	-0.063	-0.034	25.145	25.434	83.64	-38.10	46.67	-1061.21	49.33	41.07	0.04	-0.04	31.50	27.34	26.78	24.23	27.45	-0.011
0.450	40.28	420.05	-0.056	-0.033	25.140	25.440	83.59	-37.91	44.49	-1063.43	50.01	55.87	0.04	-0.04	31.54	27.10	26.53	24.49	27.44	-0.012
0.460	40.28	419.98	-0.063	-0.030	25.139	25.444	83.54	-15.60	42.79	-1062.75	42.43	70.73	0.01	-0.04	31.50	27.32	26.73	24.31	27.43	-0.012
0.470	40.27	420.05	-0.063	-0.027	25.136	25.437	83.59	23.76	41.65	-1057.82	28.41	82.91	-0.02	-0.04	31.51	27.08	26.56	24.55	27.45	-0.012
0.480	40.27	420.12	-0.056	-0.028	25.140	25.430	83.49	67.31	41.21	-1045.69	9.86	89.59	-0.06	-0.04	31.48	27.29	26.55	24.49	27.45	-0.011
0.490	40.27	420.12	-0.064	-0.030	25.143	25.430	83.18	91.57	40.11	-1030.08	-9.58	87.94	-0.09	-0.04	31.48	26.95	26.59	24.67	27.43	-0.011
0.500	40.26	420.12	-0.057	-0.028	25.142	25.427	83.13	82.75	43.96	-1012.49	-25.40	79.13	-0.08	-0.04	31.51	27.07	26.48	24.39	27.44	-0.011
0.510	40.26	419.78	-0.079	-0.033	25.144	25.448	83.03	37.24	47.34	-1002.52	-34.56	63.82	-0.04	-0.05	31.48	27.18	26.64	24.52	27.46	-0.012
0.520	40.25	419.71	-0.056	-0.031	25.144	25.446	82.88	-19.29	56.38	-1002.58	-35.02	47.62	0.02	-0.06	31.51	27.11	26.58	24.37	27.44	-0.012
0.530	40.26	419.57	-0.057	-0.025	25.131	25.460	82.98	-66.93	64.82	-1014.09	-27.44	32.49	0.07	-0.06	31.52	27.16	26.62	24.33	27.43	-0.013
0.540	40.26	419.71	-0.066	-0.036	25.139	25.449	82.98	-93.38	72.91	-1028.28	-13.46	21.37	0.09	-0.07	31.49	27.05	26.52	24.29	27.45	-0.012
0.550	40.27	419.78	-0.057	-0.024	25.135	25.450	83.84	-99.52	71.79	-1037.02	1.54	16.68	0.10	-0.07	31.49	27.21	26.64	24.26	27.45	-0.012
0.560	40.27	419.85	-0.060	-0.028	25.133	25.449	83.99	-97.74	69.47	-1045.96	18.20	17.42	0.09	-0.07	31.50	27.23	26.65	24.22	27.43	-0.012
0.570	40.29	420.05	-0.051	-0.033	25.132	25.446	83.08	-88.85	63.64	-1055.19	33.78	24.26	0.08	-0.06	31.49	27.23	26.64	24.36	27.44	-0.012
0.580	40.29	420.05	-0.056	-0.030	25.135	25.446	83.44	-70.10	60.33	-1067.54	45.41	36.51	0.07	-0.06	31.49	27.18	26.61	24.22	27.45	-0.012
0.590	40.30	420.05	-0.057	-0.028	25.129	25.455	83.38	-49.26	56.82	-1080.14	49.94	51.03	0.05	-0.05	31.51	27.13	26.75	24.36	27.44	-0.013
0.600	40.31	420.05	-0.053	-0.033	25.128	25.460	83.28	-27.75	49.68	-1086.94	44.94	66.34	0.03	-0.05	31.49	27.11	26.64	24.34	27.43	-0.013
0.610	40.31	420.05	-0.056	-0.031	25.132	25.463	83.13	-15.91	43.02	-1082.58	31.52	78.15	0.01	-0.04	31.49	27.10	26.62	24.36	27.44	-0.013
0.620	40.32	420.05	-0.057	-0.037	25.140	25.466	83.03	-7.31	39.84	-1072.07	13.67	85.31	0.01	-0.04	31.50	27.10	26.58	24.54	27.45	-0.013
0.630	40.33	420.05	-0.057	-0.033	25.140	25.472	83.03	-7.58	40.06	-1056.06	-5.11	85.17	0.01	-0.04	31.46	27.07	26.61	24.34	27.43	-0.013
